snp_id,alpha_hat,se,t_stat,p_value,chr,pos_mb,is_qtl,p_bonferroni,lambda_gc,neg_log10_p
SNP00116,0.010234292287423933,0.055049673011342094,0.18591013765541028,0.8525784871073707,1,0.6458663501517969,False,2557.7354613221123,1.0031,0.06926562999105829
SNP00428,0.09800576190932812,0.060098602257453164,1.630749438888554,0.10347149541052607,1,2.765670431279071,False,310.4144862315782,1.0031,0.9851792742738574
SNP02635,-0.10584489244249079,0.05796766838680042,-1.8259297878986676,0.06836102329314395,1,3.0552710526566496,False,205.08306987943183,1.0031,1.1651914449676906
SNP00820,-0.1205433063064309,0.05823437538905783,-2.0699682189616277,0.03888552240214335,1,4.888866487052174,False,116.65656720643005,1.0031,1.4102120622008405
SNP01805,0.05916209408787921,0.058831815522374556,1.0056139448115289,0.3150094052573719,1,7.104565994893197,False,945.0282157721158,1.0031,0.5016764792567517
SNP01806,0.08550317911934346,0.06939298446071418,1.2321588383008637,0.21837562730608898,1,9.282821553836468,False,655.1268819182669,1.0031,0.6607958344523711
SNP01531,-0.009330528518093574,0.05643131063727806,-0.16534311205470928,0.8687299938162674,1,9.668614868236316,False,2606.189981448802,1.0031,0.06111518375462839
SNP00845,0.07174033368171318,0.05565041347169308,1.289124899641659,0.19785476520012138,1,9.959741856491185,False,593.5642956003642,1.0031,0.7036534855789167
SNP01762,0.06014516098965879,0.06575855980794597,0.9146362262999428,0.36075251328394586,1,10.766563959115311,False,1082.2575398518377,1.0031,0.44279063458915424
SNP02262,-0.1338105160626088,0.06309414118018013,-2.120807313637592,0.034350324612356604,1,13.25853531262462,False,103.05097383706982,1.0031,1.4640691544795659
SNP01517,0.015447606303193789,0.0703625025560013,0.21954316208266025,0.8263021300154174,1,13.733975155585338,False,2478.9063900462525,1.0031,0.08286112773157478
SNP01462,0.11794220023823994,0.07427995835540108,1.5878064938315097,0.11286044091544918,1,15.114228168205956,False,338.58132274634755,1.0031,0.9474582573906938
SNP02865,-0.027428000600939004,0.05487982261013543,-0.49978296751771,0.6174123628927515,1,17.7196275418611,False,1852.2370886782544,1.0031,0.20942467857542177
SNP01365,0.027948510406757564,0.057474175450996146,0.48627944963885794,0.6269477961597405,1,18.578532169395288,False,1880.8433884792214,1.0031,0.20276861990873601
SNP01868,0.11725566182493992,0.06158667674693981,1.9039127944302703,0.057402871647943436,1,20.257620701966207,False,172.2086149438303,1.0031,1.2410663809528903
SNP00302,0.09571712978664391,0.0635769265956848,1.505532508599442,0.13271699698194464,1,20.26196883262861,False,398.15099094583394,1.0031,0.8770734537537797
SNP01525,0.0526579249433985,0.056546380430797294,0.9312342282958752,0.3521094670274563,1,21.19339006306508,False,1056.328401082369,1.0031,0.4533222980695148
